canon_labels,new_var,W09_var,W08_var,W07_var,W06_var,W05_var,W04_var,W03_var,W02_var
age first told had cancer,HeAgg,,,HeAgg,HeAgg,heagg,heagg,heagg,HeAgg
difficulty walking 1 4 mile unaided,HeFunc,,,HeFunc,HeFunc,HeFunc,hefunc,hefunc,HeFunc
whether health condition prevents from walking,MmHSS,,,MmHSS,MmHSS,mmhss,mmhss,mmhss,MmHSS
age of natural father,dianf,dianf,dianf,DiANF,DiANF,dianf,dianf,dianf,DiANF
age of natural mother,dianm,dianm,dianm,DiANM,DiANM,dianm,dianm,dianm,DiANM
whether mother of respondent is still alive,dinma,dinma,dinma,DiNMA,DiNMA,dinma,dinma,dinma,DiNMA
whether ever been told has diabetes by doctor,heacd,heacd,heacd,HeACd,HeACd,,heacd,dheacd,HeACd
diabetes whether ace inhibitor or a2 receptor blocker discussed by doctor,heace,heace,heace,HeAce,HeAce,heace,heace,heace,HeAce
diabetes whether taking ace inhibitor or a2 receptor blocker,heacea,heacea,heacea,HeAcea,HeAcea,heacea,heacea,heacea,HeAcea
frequency does vigorous sports or activities,heacta,heacta,heacta,HeActa,HeActa,heacta,heacta,heacta,HeActa
frequency does mild sports or activities,heactc,heactc,heactc,HeActc,HeActc,heactc,heactc,heactc,HeActc
adl difficulty bathing or showering,headlba,headlba,headlba,,headlba,headlba,headlba,headlba,
adl difficulty dressing including putting on shoes and socks,headldr,headldr,headldr,headldr,headldr,headldr,headldr,headldr,
adl difficulty eating such as cutting up food,headlea,headlea,headlea,headlea,headlea,headlea,headlea,headlea,
iadl difficulty using map to figure out how to get around strange place,headlma,headlma,headlma,headlma,headlma,headlma,headlma,headlma,
iadl difficulty taking medications,headlme,headlme,headlme,headlme,headlme,headlme,,headlme,
iadl difficulty making telephone calls,headlph,headlph,headlph,headlph,headlph,headlte,,headlph,
iadl difficulty preparing a hot meal,headlpr,headlpr,headlpr,headlpr,headlpr,headlpr,,headlpr,
iadl difficulty shopping for groceries,headlsh,headlsh,headlsh,headlsh,headlsh,headlsh,,headlsh,
adl difficulty walking across a room,headlwa,headlwa,headlwa,headlwa,headlwa,headlwa,headlwa,headlwa,
adl difficulty using the toilet including getting up or down,headlwc,headlwc,,headlwc,headlwc,headlwc,headlwc,headlwc,
age first told had angina,heaga,heaga,heaga,HeAga,H,heaga,heaga,heaga,HeAga
age first told had heart attack,heagb,heagb,heagb,HeAgb,HeAgb,heagb,heagb,heagb,HeAgb
age first told had congestive heart failure,heagc,heagc,heagc,HeAgc,HeAgc,heagc,heagc,heagc,HeAgc
age first told had diabetes or high blood sugar,heagd,heagd,heagd,HeAgd,HeAgd,heagd,heagd,heagd,HeAgd
age first told had stroke,heage,heage,heage,HeAge,HeAge,heage,heage,heage,HeAge
